Source;Target;Weight
1;2;0.5
1;3;0.5
4;5;0.1111111111111111
4;6;0.1111111111111111
4;7;0.1111111111111111
4;8;0.1111111111111111
4;9;0.1111111111111111
4;10;0.1111111111111111
4;11;0.1111111111111111
4;12;0.1111111111111111
4;13;0.1111111111111111
14;15;0.5
14;16;0.5
17;18;1.0833333333333333
17;19;0.5
17;20;0.25
17;21;0.8333333333333333
17;22;0.25
17;23;0.25
17;24;0.3333333333333333
17;25;0.5
26;27;0.05263157894736842
26;28;0.05263157894736842
26;29;0.05263157894736842
26;30;0.05263157894736842
26;31;0.05263157894736842
26;32;0.05263157894736842
26;33;0.05263157894736842
26;34;0.05263157894736842
26;35;0.05263157894736842
26;36;0.05263157894736842
26;37;0.05263157894736842
26;38;0.05263157894736842
26;39;0.05263157894736842
26;40;0.05263157894736842
26;41;0.05263157894736842
26;42;0.05263157894736842
26;43;0.05263157894736842
26;44;0.05263157894736842
26;45;0.05263157894736842
46;47;0.06666666666666667
46;48;0.06666666666666667
46;49;0.06666666666666667
46;50;0.06666666666666667
46;51;0.06666666666666667
46;52;0.06666666666666667
46;53;0.06666666666666667
46;54;0.06666666666666667
46;55;0.06666666666666667
46;56;0.06666666666666667
46;57;0.06666666666666667
46;58;0.06666666666666667
46;59;0.06666666666666667
46;60;0.06666666666666667
46;61;0.06666666666666667
62;63;0.14285714285714285
62;64;0.14285714285714285
62;65;0.14285714285714285
62;66;0.14285714285714285
62;67;0.14285714285714285
62;68;0.14285714285714285
62;69;0.14285714285714285
70;71;0.07142857142857142
70;72;0.3333333333333333
70;73;0.07142857142857142
70;74;0.07142857142857142
70;75;0.3333333333333333
70;7;0.07142857142857142
70;76;0.07142857142857142
70;77;0.07142857142857142
70;78;0.07142857142857142
70;79;0.07142857142857142
70;80;0.07142857142857142
70;81;0.07142857142857142
70;82;0.07142857142857142
70;83;0.07142857142857142
70;84;0.07142857142857142
70;85;0.07142857142857142
70;86;0.3333333333333333
87;88;0.14285714285714285
87;89;0.14285714285714285
87;90;0.14285714285714285
87;91;0.14285714285714285
87;92;0.14285714285714285
87;93;0.14285714285714285
87;94;0.14285714285714285
95;96;0.25
95;97;0.25
95;98;0.25
95;99;0.25
100;101;0.14285714285714285
100;102;0.14285714285714285
